Categor’a nueva,,comentarios,wweia_food_category,count_vals,categ,description_text,fdc_ids
,,,,,,,
Miscelaneo,,por acomodar de manera individual,9999,75,Not included in a food category,"['Milk, dry, not reconstituted, NS as to fat content', 'Milk, dry, not reconstituted, fat free (skim)', 'Whey, sweet, dry', 'Cocoa powder, not reconstituted', 'Chocolate beverage powder, dry mix, not reconstituted', 'Chocolate beverage powder, light, dry mix, not reconstituted', 'Milk, malted, dry mix, not reconstituted', 'Strawberry beverage powder, dry mix, not reconstituted', 'Wheat germ', 'Wheat bran', 'Oats, raw', 'Cereal, oat bran, ready-to-eat', 'Basil, raw', 'Chives, raw', 'Cilantro, raw', 'Parsley, raw', 'Seaweed, dried', 'Yeast', 'Vegetable mixture, dried', 'Bacon, for use with vegetables', 'Ham, for use with vegetables', 'Beef, for use with vegetables', 'Chicken, for use with vegetables', 'Cream sauce, for use with vegetables', 'Cheese sauce, for use with vegetables', 'Gravy, for use with vegetables', 'Soy based sauce, for use with vegetables', 'Tomato sauce, for use with vegetables', 'Bacon, for use on a sandwich', 'Coffee, instant, not reconstituted', 'Coffee, instant, 50% less caffeine, not reconstituted', 'Coffee, instant, decaffeinated, not reconstituted', 'Coffee, instant, pre-sweetened with sugar, not reconstituted', 'Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, not reconstituted', 'Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted', 'Coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetend with low calorie sweetener, not reconstituted', 'Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted', 'Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, not reconstituted', 'Coffee, instant, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted', 'Coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, not reconstituted', 'Coffee substitute, dry powder', 'Tea, iced, instant, black, unsweetened, dry', 'Tea, iced, instant, black, pre-sweetened, dry', 'Fruit flavored drink, with high vitamin C, powdered, not reconstituted', 'Fruit flavored drink, powdered, not reconstituted', 'Fruit flavored drink, powdered, not reconstituted, diet', 'Sports drink, dry concentrate, not reconstituted', 'Cheese as ingredient in sandwiches', 'Cheese and Queso as ingredient', 'Beef as ingredient in recipes', 'Breakfast meat as ingredient in omelet', 'Chicken as ingredient in recipes', 'Fish fillet, fried as ingredient in sandwiches', 'Breading or batter as ingredient in food', 'Wheat bread as ingredient in sandwiches', 'Wheat bun as ingredient in sandwiches', 'Spinach, cooked, as ingredient', 'Broccoli, cooked, as ingredient', 'Carrots, cooked, as ingredient', 'Tomatoes, cooked, as ingredient', 'Onions, cooked, as ingredient', 'Mushrooms, cooked, as ingredient', 'Green pepper, cooked, as ingredient', 'Red pepper, cooked, as ingredient', 'Cabbage, cooked, as ingredient', 'Cauliflower, cooked, as ingredient', 'Eggplant, cooked, as ingredient', 'Green beans, cooked, as ingredient', 'Summer squash, cooked, as ingredient', 'Dark green vegetables as ingredient in omelet', 'Tomatoes as ingredient in omelet', 'Other vegetables as ingredient in omelet', 'Vegetables as ingredient in curry', 'Sauce as ingredient in hamburgers', 'Industrial oil as ingredient in food']","[2340986, 2340987, 2340988, 2340989, 2340990, 2340991, 2340992, 2340993, 2343961, 2343972, 2343973, 2343974, 2345300, 2345301, 2345302, 2345316, 2345512, 2345532, 2345565, 2345799, 2345800, 2345801, 2345802, 2345803, 2345804, 2345805, 2345806, 2345807, 2345816, 2346042, 2346043, 2346044, 2346045, 2346046, 2346047, 2346048, 2346049, 2346050, 2346051, 2346052, 2346057, 2346080, 2346081, 2346188, 2346189, 2346190, 2346191, 2346356, 2346357, 2346358, 2346359, 2346360, 2346361, 2346362, 2346363, 2346364, 2346365, 2346366, 2346367, 2346368, 2346369, 2346370, 2346371, 2346372, 2346373, 2346374, 2346375, 2346376, 2346377, 2346378, 2346379, 2346380, 2346381, 2346382, 2346383]"
,,,8010,10,Mayonnaise,"['Sandwich spread', 'Tartar sauce', 'Salad dressing, NFS, for sandwiches', 'Mayonnaise, regular', 'Vegan mayonnaise', 'Mayonnaise-type salad dressing', 'Mayonnaise, light', 'Mayonnaise, reduced fat,  with olive oil', 'Mayonnaise-type salad dressing, light', 'Mayonnaise, fat free']","[2345729, 2345730, 2345753, 2345761, 2345762, 2345764, 2345778, 2345779, 2345780, 2345794]"
,,,8402,12,Tomato-based condiments,"['Ketchup', 'Ketchup, reduced sodium', 'Tomato chili sauce', 'Salsa, NFS', 'Salsa, pico de gallo', 'Salsa, red', 'Salsa, red, homemade', 'Taco sauce', 'Enchilada sauce, red', 'Barbecue sauce', 'Steak sauce', 'Cocktail sauce']","[2345246, 2345247, 2345248, 2345249, 2345250, 2345251, 2345252, 2345253, 2345254, 2345263, 2345265, 2345266]"
,,,8404,10,Soy-based condiments,"['Fish sauce', 'Oyster sauce', 'Miso sauce', 'Miso', 'Natto', 'Hoisin sauce', 'Soy sauce', 'Soy sauce, reduced sodium', 'Teriyaki sauce', 'Teriyaki sauce, reduced sodium']","[2341881, 2342625, 2342913, 2342914, 2342915, 2342916, 2342917, 2342918, 2342920, 2342921]"
,,,8406,29,Mustard and other condiments,"['Worcestershire sauce', 'Lemon juice, 100%, NS as to form', 'Lemon juice, 100%, freshly squeezed', 'Lemon juice, 100%, canned or bottled', 'Lime juice, 100%, NS as to form', 'Lime juice, 100%, freshly squeezed', 'Lime juice, 100%, canned or bottled', 'Chutney', 'Vinegar', 'Hot Thai sauce', 'Buffalo sauce', 'Puerto Rican seasoning with ham', 'Puerto Rican seasoning with ham and tomato sauce', 'Puerto Rican seasoning without ham and tomato sauce', 'Garlic, raw', 'Pepper, hot chili, raw', 'Garlic, cooked', 'Hot peppers, cooked', 'Pimiento', 'Yeast extract spread', 'Horseradish', 'Mustard', 'Honey mustard dip', 'Hot pepper sauce', 'Wasabi paste', 'Horseradish sauce', 'Fry sauce', 'Sweet and sour sauce', 'Duck sauce']","[2342922, 2344675, 2344676, 2344677, 2344678, 2344679, 2344680, 2344803, 2344845, 2345257, 2345264, 2345267, 2345268, 2345269, 2345306, 2345318, 2345455, 2345501, 2345502, 2345533, 2345610, 2345612, 2345613, 2345620, 2345630, 2345731, 2345733, 2345856, 2345858]"
,,,8408,30,"Olives, pickles, pickled vegetables","['Tomato, green, pickled', 'Sauerkraut', 'Green beans, pickled', 'Beets, pickled', 'Celery, pickled', 'Relish, corn', 'Cauliflower, pickled', 'Cabbage, fresh, pickled, Japanese style', 'Cabbage, red, pickled', 'Kimchi', 'Pickles, dill', 'Relish, pickle', 'Pickles, sweet', 'Eggplant, pickled', 'Ginger root, pickled', 'Mushrooms, pickled', 'Okra, pickled', 'Olives, NFS', 'Olives, green', 'Olives, black', 'Olives, stuffed', 'Olive tapenade', 'Peppers, pickled', 'Pepper, hot, pickled', 'Pickles, NFS', 'Radishes, pickled, Hawaiian style', 'Seaweed, pickled', 'Vegetables, pickled', 'Turnip, pickled', 'Zucchini, pickled']","[2345239, 2345506, 2345597, 2345598, 2345599, 2345600, 2345601, 2345602, 2345603, 2345604, 2345605, 2345606, 2345607, 2345608, 2345609, 2345611, 2345614, 2345615, 2345616, 2345617, 2345618, 2345619, 2345621, 2345622, 2345624, 2345626, 2345627, 2345628, 2345629, 2345631]"
,,,8410,11,"Pasta sauces, tomato-based","['Spaghetti sauce with poultry', 'Spaghetti sauce with poultry and added vegetables', 'Spaghetti sauce with seafood', 'Spaghetti sauce with seafood and added vegetables', 'Spaghetti sauce with meat', 'Spaghetti sauce with meat and added vegetables', 'Spaghetti sauce', 'Spaghetti sauce with added vegetables', 'Spaghetti sauce, reduced sodium', 'Spaghetti sauce, fat free', 'Vodka sauce with tomatoes and cream']","[2341848, 2341849, 2341877, 2341878, 2341894, 2341895, 2345258, 2345259, 2345260, 2345261, 2345262]"
,,,8412,59,"Dips, gravies, other sauces","['Chipotle dip, yogurt based', 'Onion dip, yogurt based', 'Ranch dip, yogurt based', 'Spinach dip, yogurt based', 'Tzatziki dip', 'Vegetable dip, yogurt based', 'Dip, NFS', 'Chipotle dip, regular', 'Chipotle dip, light', 'Onion dip, regular', 'Onion dip, light', 'Ranch dip, regular', 'Ranch dip, light', 'Spinach dip, regular', 'Spinach dip, light', 'Vegetable dip, regular', 'Vegetable dip, light', 'White sauce or gravy', 'Artichoke dip', 'Spinach and artichoke dip', 'Seafood dip', 'Cheese dip with chili pepper', 'Cheese dip', 'Cheese fondue', 'Welsh rarebit', 'Cheese sauce', 'Alfredo sauce', 'Alfredo sauce with added vegetables', 'Alfredo sauce with meat', 'Alfredo sauce with meat and added vegetables', 'Alfredo sauce with poultry', 'Alfredo sauce with poultry and added vegetables', 'Alfredo sauce with seafood', 'Alfredo sauce with seafood and added vegetables', 'Gravy, poultry', 'Gravy, beef', 'Gravy, beef, fat free', 'Gravy, poultry, fat free', 'Gravy, made with soy sauce', 'Gravy, NFS', 'Mole sauce', 'Bean dip, made with refried beans', 'Layer dip', 'Hummus, plain', 'Hummus, flavored', 'Black bean sauce', 'Peanut sauce', 'Gravy, vegetarian', 'Guacamole, NFS', 'Guacamole with tomatoes', 'Enchilada sauce, green', 'Salsa verde or salsa, green', 'Eggplant dip', 'Garlic sauce', 'Lemon-butter sauce', 'Hollandaise sauce', 'Pesto sauce', 'Sauce, NFS', 'Curry sauce']","[2340824, 2340825, 2340826, 2340827, 2340828, 2340829, 2341021, 2341022, 2341023, 2341024, 2341025, 2341026, 2341027, 2341028, 2341029, 2341030, 2341031, 2341106, 2341186, 2341187, 2341188, 2341189, 2341190, 2341195, 2341197, 2341212, 2341213, 2341214, 2341215, 2341216, 2341217, 2341218, 2341219, 2341220, 2342619, 2342620, 2342621, 2342622, 2342623, 2342624, 2342626, 2342875, 2342876, 2342877, 2342878, 2342879, 2343023, 2343024, 2344801, 2344802, 2345255, 2345256, 2345576, 2345726, 2345727, 2345728, 2345732, 2345734, 2345735]"
,,Check,8806,36,"Jams, syrups, toppings","['Lemon pie filling', 'Cherry pie filling', 'Blueberry pie filling', 'Syrup, NFS', 'Pancake syrup', 'Corn syrup', 'Blueberry syrup', 'Chocolate syrup', 'Chocolate syrup, light', 'Simple syrup', 'Strawberry drink syrup', 'Pancake syrup, light', 'Topping, butterscotch or caramel', 'Topping, chocolate', 'Topping, fruit', 'Topping, marshmallow', 'Topping, nuts and syrup', 'Chocolate hazelnut spread', 'Icing, chocolate', 'Icing, white', 'Caramel dip, regular', 'Caramel dip, light', 'Chocolate dip', 'Dessert dip', 'Dessert sauce', 'Jam or jelly, NFS', 'Jelly', 'Jam', 'Fruit butter', 'Marmalade', 'Jam or jelly, sugar free', 'Jam or jelly, reduced sugar', 'Jam or jelly, fruit juice sweetened', 'Guava paste', 'Sweet potato paste', 'Bean paste, sweetened']","[2344663, 2344725, 2344772, 2345832, 2345833, 2345834, 2345835, 2345836, 2345837, 2345838, 2345839, 2345840, 2345844, 2345845, 2345846, 2345847, 2345848, 2345849, 2345850, 2345851, 2345852, 2345853, 2345854, 2345855, 2345857, 2345859, 2345860, 2345861, 2345862, 2345863, 2345864, 2345865, 2345866, 2345867, 2345868, 2345869]"
